Description R1	Best V hit	Best D hit	Best J hit
3691124058687406050	IGHV3-23*00	IGHD3-22*00	IGHJ3*00
3275672942195210305	IGHV3-23*00	IGHD3-22*00	IGHJ4*00
-2991901794128837163	IGHV3-23*00	IGHD3-22*00	IGHJ4*00
-6733697575250080402	IGHV3-23*00	IGHD2-15*00	IGHJ4*00
5691420737336342566	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-8664452910244279657	IGHV1-69*00	IGHD3-22*00	IGHJ5*00
7587471273445460467	IGHV1-69*00	IGHD1-26*00	IGHJ5*00
1345913815817305917	IGHV1-69*00	IGHD6-19*00	IGHJ4*00
528243404528315642	IGHV1-69*00		IGHJ5*00
4594836650127409897	IGHV1-69*00	IGHD3-9*00	IGHJ5*00
6362889531633130742	IGHV3-23*00	IGHD6-13*00	IGHJ3*00
-1535587125673061713	IGHV3-23*00	IGHD6-13*00	IGHJ3*00
6558700354896740322	IGHV3-23*00	IGHD6-13*00	IGHJ3*00
1812486423043780550	IGHV3-23*00	IGHD6-13*00	IGHJ3*00
6974920644292548144	IGHV3-23*00	IGHD6-13*00	IGHJ3*00
5601354602414955522	IGHV3-23*00	IGHD6-13*00	IGHJ3*00
-2887154103551369313	IGHV3-23*00	IGHD6-13*00	IGHJ3*00
-5111883289823700255	IGHV3-23*00	IGHD6-13*00	IGHJ3*00
3892107917673263876	IGHV3-23*00	IGHD6-13*00	IGHJ3*00
1357040407489374673	IGHV3-23*00	IGHD6-13*00	IGHJ3*00
-5420405975712326736	IGHV3-23*00	IGHD6-13*00	IGHJ3*00
7650508903552948942	IGHV3-23*00	IGHD6-13*00	IGHJ3*00
-6189375019287699887	IGHV3-23*00	IGHD6-13*00	IGHJ3*00
8524160758557565753	IGHV3-23*00	IGHD6-13*00	IGHJ3*00
-9194500125774669999	IGHV3-23*00	IGHD6-13*00	IGHJ3*00
5449742407277591482	IGHV2-70*00	IGHD3-10*00	IGHJ5*00
9006580949019881408	IGHV2-70*00	IGHD3-10*00	IGHJ5*00
-8015962119689798032	IGHV2-70*00	IGHD3-10*00	IGHJ5*00
7334491807444064189	IGHV2-70*00	IGHD3-10*00	IGHJ5*00
-5401203543942210234	IGHV2-70*00	IGHD3-10*00	IGHJ5*00
-3860179845782588707	IGHV2-70*00	IGHD3-10*00	IGHJ5*00
-6781991604657362605	IGHV2-70*00	IGHD3-10*00	IGHJ5*00
6436684076462272053	IGHV2-70*00	IGHD3-10*00	IGHJ5*00
-918660724775279975	IGHV2-70*00	IGHD3-10*00	IGHJ5*00
3107783807673012982	IGHV2-70*00	IGHD3-3*00	IGHJ5*00
6887351090159092024	IGHV2-70*00	IGHD3-10*00	IGHJ5*00
6109610289040307107	IGHV2-70*00	IGHD5-18*00	IGHJ5*00
5110380203819743581	IGHV2-70*00	IGHD3-10*00	IGHJ5*00
3243578053863299442	IGHV2-70*00	IGHD3-10*00	IGHJ5*00
3597154316376999907	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
4782362920969229553	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
3208646192632220422	IGHV3-9*00	IGHD3-10*00	IGHJ5*00
-8161807770262426357	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-7199422491454662028	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
4785383265565638079	IGHV3-9*00	IGHD5-18*00	IGHJ5*00
-8326923297431070142	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-1301489609199182005	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
4542843294864077842	IGHV3-9*00	IGHD2-2*00	IGHJ5*00
-5317972889626194866	IGHV3-9*00	IGHD1-1*00	IGHJ5*00
999611985730192424	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-5365584294091615248	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
8972819148629848324	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
8688492614457303179	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
1336395267508632852	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
2255885919561689746	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-5391884016640671087	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-2778695049093017586	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-2287070215827290667	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-180396940393679990	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-8440088729140348449	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
1176004744459646906	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-5853652497888367963	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
3331973427408996625	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-8803297199431072230	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-3759451428322259417	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
2623900221551450299	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
4510196927931822350	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-7118880622087098097	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
2308380677187242200	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
8236626802913532283	IGHV3-9*00	IGHD2-2*00	IGHJ5*00
-3590228344327418956	IGHV3-9*00	IGHD2-15*00	IGHJ5*00
2496685387588903727	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
7163969556770204242	IGHV3-9*00	IGHD2-15*00	IGHJ5*00
113562848991817635	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
8824139065409456408	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
4431682035831144883	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
8297606159177494403	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-3891247000024166868	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
4789024243372923245	IGHV3-9*00	IGHD6-13*00	IGHJ4*00
5213046887644562297	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
1865616192231014804	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
1552228150342499640	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-7458036116587253881	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-5494303141177704432	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-2264988297449732538	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
4188836486865206756	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-6457439050427207039	IGHV3-9*00	IGHD6-6*00	IGHJ5*00
-8455605293842036651	IGHV3-9*00	IGHD6-6*00	IGHJ5*00
4776843953701066213	IGHV3-9*00	IGHD1-14*00	IGHJ5*00
8646669499178487332	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
4978630139676734523	IGHV3-9*00	IGHD6-25*00	IGHJ5*00
2871672113123637971	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-65109709972425525	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
2079285216441237206	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-1059019991102996272	IGHV3-9*00	IGHD6-13*00	IGHJ4*00
-3596560517709801570	IGHV3-9*00	IGHD6-13*00	IGHJ4*00
-6248632160623120910	IGHV3-9*00	IGHD6-13*00	IGHJ4*00
1358637843965912511	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-6638504759619318949	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
8750657649308170295	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
5621456030414760782	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-6836254764044863044	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-2225313366202321483	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-3160613854769241788	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-5903849814731794891	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
7828935731231830709	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
1139088177678273351	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
1119735167177872012	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-4359753911682603474	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-3213379963507250799	IGHV3-9*00	IGHD6-6*00	IGHJ5*00
-3578854384094562395	IGHV3-9*00	IGHD6-13*00	IGHJ5*00
-7821590887858505699	IGHV3-53*00	IGHD2-8*00	IGHJ5*00
6075608072690509863	IGHV3-53*00	IGHD3-3*00	IGHJ5*00
6351039962683418603	IGHV3-53*00	IGHD5-18*00	IGHJ5*00
1131961671472029228	IGHV3-53*00	IGHD1-26*00	IGHJ5*00
3938659552492238755	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
8836023070993220804	IGHV3-23*00	IGHD6-19*00	IGHJ4*00
5418082546107881005	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-1753390939560637551	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
8552994109011199617	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
6893326914756017135	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
3510327405239063175	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-4123883460950901572	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
3399118286902748144	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
5678438919507447800	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-5777356798303042823	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-3244809844456750570	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
1294098050512067683	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
3163500860193104070	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-6116936221916433954	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-318841976033593181	IGHV4-31*00	IGHD3-16*00	IGHJ4*00
-4487972858076778910	IGHV3-23*00	IGHD3-22*00	IGHJ5*00
-3664850295654033689	IGHV3-23*00	IGHD3-22*00	IGHJ5*00
-3537320413279748936	IGHV3-23*00	IGHD3-22*00	IGHJ5*00
8772531793611568655	IGHV3-23*00	IGHD3-22*00	IGHJ5*00
9002403573977656318	IGHV3-23*00	IGHD3-22*00	IGHJ5*00
-6304663399991496465	IGHV3-23*00	IGHD3-22*00	IGHJ5*00
1933068756043303954	IGHV3-23*00	IGHD3-22*00	IGHJ5*00
-6362493365420420848	IGHV3-23*00	IGHD3-22*00	IGHJ5*00
-3433254117872685780	IGHV4-34*00	IGHD2-15*00	IGHJ5*00
2941977178007912087	IGHV4-34*00	IGHD2-15*00	IGHJ5*00
-8666713944013805457	IGHV4-34*00	IGHD2-15*00	IGHJ5*00
2886515895662253347	IGHV4-34*00	IGHD2-15*00	IGHJ5*00
-901694704099478808	IGHV4-34*00	IGHD2-15*00	IGHJ5*00
1031716853057223198	IGHV4-34*00	IGHD2-15*00	IGHJ5*00
-4964531063139804429	IGHV4-34*00	IGHD2-15*00	IGHJ5*00
899072278100916232	IGHV4-34*00	IGHD2-15*00	IGHJ5*00
4005099285194446223	IGHV4-34*00	IGHD2-15*00	IGHJ4*00
6973833727929487560	IGHV4-34*00	IGHD2-15*00	IGHJ5*00
-8674874322079585660	IGHV4-34*00	IGHD2-15*00	IGHJ5*00
-5985910406569582202	IGHV4-34*00	IGHD2-15*00	IGHJ5*00
-2249900084498412005	IGHV4-34*00	IGHD2-15*00	IGHJ5*00
-6268708489530022065	IGHV4-34*00	IGHD2-15*00	IGHJ5*00
5448616027966123082	IGHV4-34*00	IGHD2-15*00	IGHJ5*00
3344200156301449489	IGHV4-34*00	IGHD2-15*00	IGHJ5*00
7525190877784044742	IGHV4-34*00	IGHD2-15*00	IGHJ5*00
2259264058483868319	IGHV4-34*00	IGHD2-15*00	IGHJ5*00
-7330565131242464585	IGHV4-34*00	IGHD2-15*00	IGHJ5*00
-9120509208158908585	IGHV4-34*00	IGHD2-15*00	IGHJ5*00
-8546063557969226737	IGHV3-30*00	IGHD4-23*00	IGHJ4*00
8763883569720301732	IGHV3-30*00	IGHD3-3*00	IGHJ4*00
-1975786789692385190	IGHV3-22*00	IGHD2-2*00	IGHJ4*00
-938996527588909559	IGHV3-22*00	IGHD2-2*00	IGHJ4*00
5041700595291009282	IGHV3-22*00	IGHD2-2*00	IGHJ4*00
6444292751619053080	IGHV3-30*00	IGHD5-12*00	IGHJ5*00
2779136547184689808	IGHV3-30*00	IGHD3-9*00	IGHJ5*00
-354562366883385236	IGHV3-30*00	IGHD6-13*00	IGHJ5*00
2131699406917615954	IGHV3-30*00	IGHD3-9*00	IGHJ1*00
5610720524108988275	IGHV3-30*00	IGHD3-9*00	IGHJ5*00
1095042478522292648	IGHV3-30*00	IGHD3-9*00	IGHJ4*00
-4816322020904139317	IGHV3-30*00	IGHD3-9*00	IGHJ5*00
5333339788638216600	IGHV3-30*00	IGHD3-16*00	IGHJ5*00
1321631067811753145	IGHV3-30*00	IGHD3-9*00	IGHJ5*00
8061976094177513384	IGHV3-30*00	IGHD1-20*00	IGHJ5*00
7775650932006121281	IGHV3-30*00	IGHD3-3*00	IGHJ5*00
165846756921590540	IGHV3-30*00	IGHD3-9*00	IGHJ4*00
-3384438330813948791	IGHV3-30*00	IGHD3-9*00	IGHJ4*00
-956572720749119874	IGHV3-30*00	IGHD2-15*00	IGHJ3*00
7081630320992312668	IGHV3-30*00	IGHD4-23*00	IGHJ4*00
-4509317443012904026	IGHV3-30*00	IGHD4-23*00	IGHJ4*00
-4534144880912525941	IGHV3-30*00	IGHD4-23*00	IGHJ4*00
-5282042242425808703	IGHV3-30*00	IGHD4-23*00	IGHJ4*00
5180673584282840420	IGHV3-30*00	IGHD5-24*00	IGHJ5*00
8984252931288810378	IGHV3-30*00	IGHD3-16*00	IGHJ5*00
2859155678680215767	IGHV1-18*00	IGHD6-19*00	IGHJ4*00
1195730786542586410	IGHV1-18*00	IGHD6-19*00	IGHJ4*00
-7893440640263901739	IGHV1-18*00	IGHD6-19*00	IGHJ4*00
3064282618250790672	IGHV1-18*00	IGHD6-19*00	IGHJ4*00
1587367983467085344	IGHV1-18*00	IGHD6-19*00	IGHJ4*00
-4904327049822212296	IGHV1-18*00	IGHD6-19*00	IGHJ4*00
2918101281979410115	IGHV1-18*00	IGHD6-19*00	IGHJ4*00
-3887647634237461464	IGHV1-18*00	IGHD6-19*00	IGHJ4*00
-6444934512704995394	IGHV1-18*00	IGHD6-19*00	IGHJ4*00
972400611201677604	IGHV1-18*00	IGHD6-19*00	IGHJ4*00
-4998140652059814578	IGHV1-18*00	IGHD6-19*00	IGHJ4*00
2266115899172651299	IGHV1-18*00	IGHD6-19*00	IGHJ4*00
5059635576140704079	IGHV1-18*00	IGHD6-19*00	IGHJ4*00
8741637406965813267	IGHV1-18*00	IGHD6-19*00	IGHJ4*00
8395280839646657916	IGHV3-53*00	IGHD1-26*00	IGHJ3*00
4930221888073101044	IGHV3-30*00	IGHD2-8*00	IGHJ4*00
-8023921250757906984	IGHV3-30*00	IGHD4-17*00	IGHJ3*00
4762413051809247931	IGHV3-30*00	IGHD4-17*00	IGHJ3*00
-5747990877622515733	IGHV3-30*00	IGHD2-21*00	IGHJ3*00
1499385695687623025	IGHV1-3*00	IGHD2-15*00	IGHJ5*00
8873906524209587328	IGHV1-3*00	IGHD2-21*00	IGHJ5*00
-8334053551025911816	IGHV1-3*00	IGHD2-15*00	IGHJ5*00
-7158913402923286140	IGHV1-3*00	IGHD3-3*00	IGHJ5*00
1560321876231757743	IGHV3-15*00	IGHD3-10*00	IGHJ4*00
218787309232603267	IGHV3-15*00	IGHD3-10*00	IGHJ3*00
-1651656596229959462	IGHV3-15*00	IGHD3-10*00	IGHJ5*00
-3907716075998535220	IGHV3-15*00	IGHD3-10*00	IGHJ4*00
-4526744332955778587	IGHV3-15*00	IGHD3-10*00	IGHJ5*00
-6646072730948241532	IGHV3-15*00	IGHD3-10*00	IGHJ4*00
795647695445157760	IGHV3-15*00	IGHD3-10*00	IGHJ4*00
-156050178986077441	IGHV3-15*00	IGHD3-10*00	IGHJ4*00
-2634089634133461035	IGHV3-15*00	IGHD3-10*00	IGHJ4*00
-3896744023597070395	IGHV3-15*00	IGHD3-10*00	IGHJ4*00
-5364859075648749166	IGHV3-15*00	IGHD3-10*00	IGHJ4*00
-1871621833011249624	IGHV3-15*00	IGHD3-10*00	IGHJ4*00
8828536001243921658	IGHV3-15*00	IGHD3-10*00	IGHJ4*00
5097879854312099743	IGHV3-15*00	IGHD3-10*00	IGHJ4*00
-2578952815170345441	IGHV3-15*00	IGHD3-10*00	IGHJ4*00
-856795429533538554	IGHV3-15*00	IGHD3-10*00	IGHJ4*00
7049701287217361274	IGHV3-15*00	IGHD3-10*00	IGHJ4*00
-9060815192113172764	IGHV3-15*00	IGHD3-10*00	IGHJ4*00
-3305262085542985403	IGHV3-15*00	IGHD3-10*00	IGHJ4*00
1055311180800962168	IGHV3-15*00	IGHD3-10*00	IGHJ4*00
1639350840395679010	IGHV3-15*00	IGHD3-10*00	IGHJ4*00
2876512220078301437	IGHV3-15*00	IGHD3-10*00	IGHJ4*00
8623899315936741580	IGHV3-15*00	IGHD3-10*00	IGHJ4*00
-1636880134199909393	IGHV4-31*00	IGHD6-19*00	IGHJ4*00
-5687987240365532731	IGHV4-31*00	IGHD6-19*00	IGHJ4*00
5571660078160380528	IGHV4-39*00	IGHD6-19*00	IGHJ4*00
500997406507561146	IGHV4-39*00	IGHD6-19*00	IGHJ4*00
-9033971319015741381	IGHV4-39*00	IGHD6-19*00	IGHJ4*00
-5340974483192807188	IGHV3-53*00	IGHD3-16*00	IGHJ4*00
-6080334425735187650	IGHV3-53*00	IGHD3-16*00	IGHJ4*00
-3643176652524091429	IGHV3-53*00	IGHD3-16*00	IGHJ4*00
-1552563148444587038	IGHV3-53*00	IGHD3-16*00	IGHJ4*00
328453904993890166	IGHV3-53*00	IGHD3-16*00	IGHJ4*00
-7111063000177657477	IGHV3-53*00	IGHD3-16*00	IGHJ4*00
-9036702943161059889	IGHV1-69*00	IGHD4-23*00	IGHJ4*00
5586411589480207730	IGHV1-69*00	IGHD2-15*00	IGHJ4*00
-3805061189614672689	IGHV1-69*00	IGHD2-8*00	IGHJ4*00
4444273959763987519	IGHV1-69*00	IGHD4-23*00	IGHJ4*00
-8087573484178179621	IGHV1-69*00	IGHD5-24*00	IGHJ4*00
5379908279864052974	IGHV4-31*00	IGHD4-23*00	IGHJ4*00
-7204503035649642088	IGHV4-31*00	IGHD4-23*00	IGHJ4*00
-5806488621766107820	IGHV4-31*00	IGHD4-23*00	IGHJ4*00
-1878298076156782157	IGHV3-30*00	IGHD3-16*00	IGHJ4*00
2719190631133043531	IGHV3-30*00	IGHD3-16*00	IGHJ4*00
3784686192289231411	IGHV3-30*00	IGHD1-26*00	IGHJ4*00
-7635754672378828702	IGHV3-30*00	IGHD3-16*00	IGHJ4*00
-3379869524110138886	IGHV3-30*00	IGHD3-16*00	IGHJ4*00
4567899333015204306	IGHV3-30*00	IGHD3-16*00	IGHJ4*00
300386027844490083	IGHV3-30*00	IGHD3-16*00	IGHJ4*00
-1468603526906891429	IGHV3-30*00	IGHD3-16*00	IGHJ1*00
5718484808017412369	IGHV3-30*00	IGHD3-16*00	IGHJ5*00
-4169834170006923695	IGHV3-30*00	IGHD3-16*00	IGHJ4*00
5827651863485118943	IGHV3-30*00	IGHD3-16*00	IGHJ4*00
7054936362252429424	IGHV3-30*00	IGHD3-16*00	IGHJ4*00
3658851742055897859	IGHV3-30*00	IGHD3-16*00	IGHJ3*00
73960340904348469	IGHV3-30*00	IGHD3-16*00	IGHJ4*00
-4879973368023205414	IGHV3-30*00	IGHD3-16*00	IGHJ4*00
2708778214715818086	IGHV3-30*00	IGHD3-16*00	IGHJ4*00
8648886323177277151	IGHV3-30*00	IGHD3-16*00	IGHJ4*00
6796296432701610619	IGHV3-30*00	IGHD3-16*00	IGHJ4*00
5521932701338210575	IGHV3-30*00	IGHD3-16*00	IGHJ4*00
-8905086599805964925	IGHV3-30*00	IGHD2-21*00	IGHJ4*00
2295109387022849547	IGHV3-7*00	IGHD3-16*00	IGHJ3*00
-1477072572554866014	IGHV3-7*00	IGHD3-10*00	IGHJ3*00
3088388103150176806	IGHV3-7*00	IGHD3-16*00	IGHJ3*00
-1230070950425862282	IGHV3-7*00	IGHD3-16*00	IGHJ3*00
5445885260881590080	IGHV3-7*00	IGHD3-16*00	IGHJ3*00
-4349542093681959812	IGHV1-18*00	IGHD3-10*00	IGHJ4*00
8355915030877585557	IGHV1-18*00	IGHD3-10*00	IGHJ4*00
-4569304464374085578	IGHV1-18*00	IGHD3-10*00	IGHJ4*00
1860151418059178698	IGHV1-18*00	IGHD3-10*00	IGHJ4*00
8286095800158185632	IGHV1-18*00	IGHD3-10*00	IGHJ4*00
-3095036637945859372	IGHV1-18*00	IGHD3-10*00	IGHJ4*00
-2858063998234974790	IGHV1-18*00	IGHD3-10*00	IGHJ4*00
4821042035840750606	IGHV1-18*00	IGHD3-10*00	IGHJ4*00
-6176885181853367552	IGHV1-18*00	IGHD3-10*00	IGHJ4*00
8009211593974437151	IGHV1-18*00	IGHD3-10*00	IGHJ4*00
164092635425902512	IGHV1-18*00	IGHD3-10*00	IGHJ4*00
-2470287900310263452	IGHV1-18*00	IGHD3-10*00	IGHJ4*00
4809732428925790750	IGHV1-18*00	IGHD3-10*00	IGHJ4*00
5686452029735671110	IGHV1-18*00	IGHD3-10*00	IGHJ4*00
5417605169279417927	IGHV1-18*00	IGHD3-10*00	IGHJ4*00
8740060017533077144	IGHV1-18*00	IGHD3-10*00	IGHJ4*00
5984845043703844703	IGHV1-18*00	IGHD4-17*00	IGHJ4*00
-264964545660820310	IGHV3-23*00	IGHD3-3*00	IGHJ4*00
-4798166282660347109	IGHV3-23*00	IGHD3-3*00	IGHJ4*00
4703355928291480519	IGHV3-23*00	IGHD3-3*00	IGHJ4*00
7059943971378490039	IGHV3-23*00	IGHD3-3*00	IGHJ4*00
-641084548804995244	IGHV3-23*00	IGHD3-3*00	IGHJ4*00
4342217570304065788	IGHV4-55*00	IGHD2-15*00	IGHJ3*00
647980626071468040	IGHV4-55*00	IGHD2-15*00	IGHJ3*00
1574603982205110363	IGHV4-55*00	IGHD2-15*00	IGHJ3*00
-5036133297445845419	IGHV4-55*00	IGHD2-15*00	IGHJ3*00
-3398862862575300346	IGHV4-55*00	IGHD2-15*00	IGHJ3*00
1411818698341851721	IGHV4-55*00	IGHD2-15*00	IGHJ3*00
9064395387663302977	IGHV4-55*00	IGHD2-15*00	IGHJ3*00
-1993532321415547799	IGHV4-55*00	IGHD2-15*00	IGHJ3*00
-5076915310772435402	IGHV4-55*00	IGHD2-15*00	IGHJ3*00
-1603869446450639497	IGHV4-55*00	IGHD2-15*00	IGHJ3*00
2789752904256998024	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
8990009067251035687	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
8392438017441090460	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
4361988366400854641	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
3521006761341714328	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
-8516419057293208972	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
-7582560903706476912	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
-2687493953054728140	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
-1184346261299435241	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
-502658425875031768	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
-5133188828941378316	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
5746712977452426066	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
8340121922305743904	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
-8874435733264154589	IGHV3-7*00	IGHD3-10*00	IGHJ6*00
7814262639608567649	IGHV3-7*00	IGHD3-10*00	IGHJ6*00
-877068283077788970	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
280861884465499914	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
3869864225269973230	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
-8547758652322618393	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
-406179787072984412	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
-806522490349896636	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
1770503467435493278	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
-5211642241561375725	IGHV3-7*00	IGHD2-21*00	IGHJ6*00
1346836603363101462	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
-1668024427462458369	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
1833696090311094066	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
-4651845303357889127	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
-8714719441445272938	IGHV3-7*00	IGHD3-3*00	IGHJ6*00
6647212880912606642	IGHV3-23*00	IGHD3-10*00	IGHJ6*00
-871800043110639078	IGHV3-23*00	IGHD3-10*00	IGHJ6*00
6894773577605545801	IGHV3-23*00	IGHD3-10*00	IGHJ6*00
-8781120963977271299	IGHV3-23*00	IGHD3-10*00	IGHJ6*00
-7814117124701510985	IGHV3-23*00	IGHD3-10*00	IGHJ6*00
